# VVVID RA Dec l b Ks P Amp dist(kpc)
VVV2704656.26-421805.3 270:46:56.26 -42:18:05.3 -9.86 -9.739 15.222 0.660982 0.37 15.9
VVV2701149.18-420358.3 270:11:49.18 -42:03:58.3 -9.858 -9.246 13.219 0.604051 0.28 5.8
VVV2705334.00-421303.7 270:53:34.00 -42:13:03.7 -9.746 -9.772 15.045 0.52347 0.34 12.9
VVV2702317.06-420003.9 270:23:17.06 -42:00:03.9 -9.732 -9.34 14.146 0.448021 0.32 7.7
VVV2705622.48-420853.7 270:56:22.48 -42:08:53.7 -9.668 -9.77 14.076 0.511941 0.33 8.0
VVV2711018.90-421253.4 271:10:18.90 -42:12:53.4 -9.646 -9.954 14.031 0.638696 0.36 8.8
VVV2712342.04-421647.8 271:23:42.04 -42:16:47.8 -9.627 -10.13 14.132 0.485058 0.23 8.0
VVV2712855.63-421832.3 271:28:55.63 -42:18:32.3 -9.622 -10.201 14.46 0.491162 0.37 9.4
VVV2710638.97-420755.7 271:06:38.97 -42:07:55.7 -9.593 -9.875 14.598 0.560774 0.26 10.8
VVV2702400.61-415026.5 270:24:00.61 -41:50:26.5 -9.584 -9.272 14.728 0.560897 0.31 11.5
VVV2712426.16-421241.6 271:24:26.16 -42:12:41.6 -9.561 -10.107 14.584 0.510837 0.29 10.2
VVV2712711.57-421314.0 271:27:11.57 -42:13:14.0 -9.553 -10.141 14.232 0.460162 0.35 8.1
VVV2712912.05-420223.7 271:29:12.05 -42:02:23.7 -9.378 -10.079 14.23 0.642893 0.25 9.7
VVV2711512.06-415330.1 271:15:12.06 -41:53:30.1 -9.327 -9.857 14.0 0.625493 0.29 8.6
VVV2703434.23-413322.1 270:34:34.23 -41:33:22.1 -9.267 -9.253 13.345 0.678049 0.24 6.5
VVV2712044.93-415030.5 271:20:44.93 -41:50:30.5 -9.25 -9.894 15.224 0.582245 0.33 14.9
VVV2703536.01-412829.4 270:35:36.01 -41:28:29.4 -9.188 -9.226 13.97 0.756624 0.31 9.3
VVV2703343.00-412731.0 270:33:43.00 -41:27:31.0 -9.185 -9.197 14.455 0.535828 0.27 9.8
VVV2711523.24-413619.8 271:15:23.24 -41:36:19.8 -9.069 -9.725 13.785 0.548456 0.29 7.2
VVV2704944.51-412248.6 270:49:44.51 -41:22:48.6 -9.019 -9.337 13.357 0.74691 0.24 6.9
VVV2714215.15-414058.6 271:42:15.15 -41:40:58.6 -8.981 -10.058 14.295 0.516761 0.3 8.9
VVV2704833.62-411102.7 270:48:33.62 -41:11:02.7 -8.851 -9.231 15.214 0.507123 0.32 13.7
VVV2710759.32-411700.5 271:07:59.32 -41:17:00.5 -8.824 -9.493 13.393 0.541703 0.3 5.9
VVV2715410.00-413337.7 271:54:10.00 -41:33:37.7 -8.801 -10.133 13.537 0.622886 0.19 6.8
VVV2714823.59-413121.7 271:48:23.59 -41:31:21.7 -8.801 -10.052 14.443 0.519276 0.21 9.6
VVV2711644.06-411744.6 271:16:44.06 -41:17:44.6 -8.783 -9.596 13.842 0.78672 0.28 9.0
VVV2714442.47-412738.2 271:44:42.47 -41:27:38.2 -8.766 -9.982 14.638 0.492065 0.3 10.2
VVV2710158.99-410727.3 271:01:58.99 -41:07:27.3 -8.717 -9.352 14.227 0.513896 0.31 8.6
VVV2710152.74-405051.7 271:01:52.74 -40:50:51.7 -8.471 -9.221 14.442 0.534985 0.32 9.7
VVV2715545.89-411212.5 271:55:45.89 -41:12:12.5 -8.47 -9.986 13.7 0.605539 0.23 7.3
VVV2721105.33-411703.5 272:11:05.33 -41:17:03.5 -8.453 -10.194 14.678 0.493513 0.26 10.5
VVV2714040.42-410352.1 271:40:40.42 -41:03:52.1 -8.434 -9.754 14.264 0.602442 0.23 9.5
VVV2720937.84-411116.8 272:09:37.84 -41:11:16.8 -8.375 -10.133 13.506 0.562019 0.27 6.4
VVV2715009.49-410313.3 271:50:09.49 -41:03:13.3 -8.368 -9.854 13.387 0.816446 0.17 7.3
VVV2710721.21-404354.8 271:07:21.21 -40:43:54.8 -8.334 -9.227 14.112 0.485555 0.35 7.9
VVV2720808.02-405718.1 272:08:08.02 -40:57:18.1 -8.173 -10.01 13.929 0.616637 0.33 8.2
VVV2720914.65-405522.9 272:09:14.65 -40:55:22.9 -8.138 -10.007 14.41 0.736323 0.36 11.4
VVV2721703.45-405758.1 272:17:03.45 -40:57:58.1 -8.131 -10.114 14.238 0.485446 0.28 8.4
VVV2714008.02-403848.1 271:40:08.02 -40:38:48.1 -8.062 -9.554 15.58 0.529916 0.3 16.8
VVV2723318.75-405607.6 272:33:18.75 -40:56:07.6 -8.008 -10.282 14.903 0.503069 0.33 11.8
VVV2715502.98-403538.9 271:55:02.98 -40:35:38.9 -7.926 -9.697 14.811 0.704642 0.3 13.5
VVV2722023.79-404349.4 272:20:23.79 -40:43:49.4 -7.899 -10.044 14.4 0.660589 0.3 10.7
VVV2723538.38-404726.1 272:35:38.38 -40:47:26.1 -7.863 -10.242 14.432 0.457733 0.3 8.9
VVV2712655.32-401955.6 271:26:55.32 -40:19:55.6 -7.859 -9.259 14.865 0.615358 0.19 12.9
VVV2720442.82-403316.4 272:04:42.82 -40:33:16.4 -7.833 -9.787 13.742 0.74696 0.27 8.3
VVV2721656.55-403218.2 272:16:56.55 -40:32:18.2 -7.746 -9.917 15.1 0.363689 0.36 10.9
VVV2712406.09-400914.8 271:24:06.09 -40:09:14.8 -7.716 -9.144 14.196 0.540141 0.24 8.7
VVV2715025.26-401440.9 271:50:25.26 -40:14:40.9 -7.639 -9.483 14.37 0.491681 0.28 9.0
VVV2724639.84-403516.1 272:46:39.84 -40:35:16.1 -7.616 -10.274 14.685 0.596531 0.3 11.6
VVV2724436.33-403002.4 272:44:36.33 -40:30:02.4 -7.549 -10.211 14.172 0.72847 0.17 10.1
VVV2721346.99-401650.0 272:13:46.99 -40:16:50.0 -7.532 -9.763 14.424 0.577731 0.23 10.1
VVV2724506.27-402858.9 272:45:06.27 -40:28:58.9 -7.53 -10.209 14.518 0.543845 0.39 10.2
VVV2713750.81-400108.9 271:37:50.81 -40:01:08.9 -7.512 -9.236 15.042 0.468733 0.31 12.1
VVV2722615.18-401822.3 272:26:15.18 -40:18:22.3 -7.481 -9.915 13.28 0.600875 0.22 5.9
VVV2722108.03-401447.4 272:21:08.03 -40:14:47.4 -7.458 -9.83 14.258 0.568469 0.28 9.2
VVV2715849.10-400553.7 271:58:49.10 -40:05:53.7 -7.457 -9.509 15.367 0.583989 0.29 16.0
VVV2714933.04-400044.4 271:49:33.04 -40:00:44.4 -7.436 -9.365 14.176 0.72932 0.18 10.1
VVV2724038.85-402037.5 272:40:38.85 -40:20:37.5 -7.43 -10.095 14.071 0.535613 0.36 8.1
VVV2714122.80-394908.3 271:41:22.80 -39:49:08.3 -7.312 -9.182 14.716 0.565042 0.24 11.5
VVV2714133.51-394644.8 271:41:33.51 -39:46:44.8 -7.275 -9.166 13.8 0.912051 0.24 9.5
VVV2723511.13-400650.8 272:35:11.13 -40:06:50.8 -7.255 -9.928 14.434 0.531426 0.32 9.7
VVV2724550.56-401047.8 272:45:50.56 -40:10:47.8 -7.251 -10.079 15.713 0.468878 0.36 16.8
VVV2721135.10-395529.5 272:11:35.10 -39:55:29.5 -7.225 -9.574 15.188 0.464755 0.31 13.0
VVV2720914.29-395145.5 272:09:14.29 -39:51:45.5 -7.183 -9.518 14.54 0.47827 0.32 9.6
VVV2724818.63-400259.0 272:48:18.63 -40:02:59.0 -7.119 -10.048 12.921 0.590514 0.25 4.9
VVV2724932.52-400233.8 272:49:32.52 -40:02:33.8 -7.106 -10.058 13.756 0.438847 0.3 6.3
VVV2730144.47-400454.7 273:01:44.47 -40:04:54.7 -7.069 -10.215 14.324 0.552385 0.23 9.4
VVV2725951.74-400019.7 272:59:51.74 -40:00:19.7 -7.011 -10.159 14.421 0.59979 0.23 10.3
VVV2724151.51-395154.1 272:41:51.51 -39:51:54.1 -6.991 -9.89 14.327 0.648496 0.33 10.2
VVV2725452.85-395655.1 272:54:52.85 -39:56:55.1 -6.989 -10.076 15.626 0.479881 0.48 16.3
VVV2723401.29-394207.7 272:34:01.29 -39:42:07.7 -6.89 -9.726 14.677 0.51434 0.29 10.7
VVV2721438.49-393240.9 272:14:38.49 -39:32:40.9 -6.865 -9.433 16.293 0.526432 0.36 23.6
VVV2715250.75-392338.6 271:52:50.75 -39:23:38.6 -6.862 -9.114 14.278 0.521222 0.27 8.9
VVV2730742.42-395323.9 273:07:42.42 -39:53:23.9 -6.86 -10.196 13.954 0.652405 0.33 8.6
VVV2720009.96-392540.5 272:00:09.96 -39:25:40.5 -6.847 -9.214 14.165 0.499715 0.32 8.2
VVV2725332.52-394504.7 272:53:32.52 -39:45:04.7 -6.819 -9.971 14.188 0.588228 0.21 9.1
